Make,Fuel-Type,Aspiration,Number-Doors,Body-Style,Drive-Wheels,Engine-Location,Wheel-Base,Length,Width,Height,Curb-Weight,Engine-Type,Number-Cylinders,Engine-Size,Fuel-System,Bore,Stroke,Compression-Ratio,Horsepower,Peak-RPM,City-MPG,Highway-MPG,Price
Toyota,Diesel,Turbo,Four,Sedan,Front,Front,102.4,175.6,66.5,54.9,2480,OHC,Four,110,IDI,3.27,3.35,22.5,73,4500,30,33,10698
Toyota,Gas,Standard,Four,Hatchback,Front,Front,102.4,175.6,66.5,53.9,2414,OHC,Four,122,MPFI,3.31,3.54,8.7,92,4200,27,32,9988
Toyota,Gas,Standard,Four,Sedan,Front,Front,102.4,175.6,66.5,54.9,2414,OHC,Four,122,MPFI,3.31,3.54,8.7,92,4200,27,32,10898
Toyota,Gas,Standard,Four,Hatchback,Front,Front,102.4,175.6,66.5,53.9,2458,OHC,Four,122,MPFI,3.31,3.54,8.7,92,4200,27,32,11248
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,102.9,183.5,67.7,52,2976,DOHC,Six,171,MPFI,3.27,3.35,9.3,161,5200,20,24,16558
Toyota,Gas,Standard,Two,Hatchback,Rear,Front,102.9,183.5,67.7,52,3016,DOHC,Six,171,MPFI,3.27,3.35,9.3,161,5200,19,24,15998
Toyota,Gas,Standard,Four,Sedan,Rear,Front,104.5,187.8,66.5,54.1,3131,DOHC,Six,171,MPFI,3.27,3.35,9.2,156,5200,20,24,15690
Toyota,Gas,Standard,Four,Wagon,Rear,Front,104.5,187.8,66.5,54.1,3151,DOHC,Six,161,MPFI,3.27,3.35,9.2,156,5200,19,24,15750
Volkswagen,Diesel,Standard,Two,Sedan,Front,Front,97.3,171.7,65.5,55.7,2261,OHC,Four,97,IDI,3.01,3.4,23,52,4800,37,46,7775
Volkswagen,Gas,Standard,Two,Sedan,Front,Front,97.3,171.7,65.5,55.7,2209,OHC,Four,109,MPFI,3.19,3.4,9,85,5250,27,34,7975
Volkswagen,Diesel,Standard,Four,Sedan,Front,Front,97.3,171.7,65.5,55.7,2264,OHC,Four,97,IDI,3.01,3.4,23,52,4800,37,46,7995
Volkswagen,Gas,Standard,Four,Sedan,Front,Front,97.3,171.7,65.5,55.7,2212,OHC,Four,109,MPFI,3.19,3.4,9,85,5250,27,34,8195
Volkswagen,Gas,Standard,Four,Sedan,Front,Front,97.3,171.7,65.5,55.7,2275,OHC,Four,109,MPFI,3.19,3.4,9,85,5250,27,34,8495
Volkswagen,Diesel,Turbo,Four,Sedan,Front,Front,97.3,171.7,65.5,55.7,2319,OHC,Four,97,IDI,3.01,3.4,23,68,4500,37,42,9495
Volkswagen,Gas,Standard,Four,Sedan,Front,Front,97.3,171.7,65.5,55.7,2300,OHC,Four,109,MPFI,3.19,3.4,10,100,5500,26,32,9995
Volkswagen,Gas,Standard,Two,Convertible,Front,Front,94.5,159.3,64.2,55.6,2254,OHC,Four,109,MPFI,3.19,3.4,8.5,90,5500,24,29,11595
Volkswagen,Gas,Standard,Two,Hatchback,Front,Front,94.5,165.7,64,51.4,2221,OHC,Four,109,MPFI,3.19,3.4,8.5,90,5500,24,29,9980
Volkswagen,Gas,Standard,Four,Sedan,Front,Front,100.4,180.2,66.9,55.1,2661,OHC,Five,136,MPFI,3.19,3.4,8.5,110,5500,19,24,13295
Volkswagen,Diesel,Turbo,Four,Sedan,Front,Front,100.4,180.2,66.9,55.1,2579,OHC,Four,97,IDI,3.01,3.4,23,68,4500,33,38,13845
Volkswagen,Gas,Standard,Four,Wagon,Front,Front,100.4,183.1,66.9,55.1,2563,OHC,Four,109,MPFI,3.19,3.4,9,88,5500,25,31,12290
Volvo,Gas,Standard,Four,Sedan,Rear,Front,104.3,188.8,67.2,56.2,2912,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,23,28,12940
Volvo,Gas,Standard,Four,Wagon,Rear,Front,104.3,188.8,67.2,57.5,3034,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,23,28,13415
Volvo,Gas,Standard,Four,Sedan,Rear,Front,104.3,188.8,67.2,56.2,2935,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,24,28,15985
Volvo,Gas,Standard,Four,Wagon,Rear,Front,104.3,188.8,67.2,57.5,3042,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,24,28,16515
Volvo,Gas,Turbo,Four,Sedan,Rear,Front,104.3,188.8,67.2,56.2,3045,OHC,Four,130,MPFI,3.62,3.15,7.5,162,5100,17,22,18420
Volvo,Gas,Turbo,Four,Wagon,Rear,Front,104.3,188.8,67.2,57.5,3157,OHC,Four,130,MPFI,3.62,3.15,7.5,162,5100,17,22,18950
Volvo,Gas,Standard,Four,Sedan,Rear,Front,109.1,188.8,68.9,55.5,2952,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,23,28,16845
Volvo,Gas,Turbo,Four,Sedan,Rear,Front,109.1,188.8,68.8,55.5,3049,OHC,Four,141,MPFI,3.78,3.15,8.7,160,5300,19,25,19045
Volvo,Gas,Standard,Four,Sedan,Rear,Front,109.1,188.8,68.9,55.5,3012,OHCV,Six,173,MPFI,3.58,2.87,8.8,134,5500,18,23,21485
Volvo,Diesel,Turbo,Four,Sedan,Rear,Front,109.1,188.8,68.9,55.5,3217,OHC,Six,145,IDI,3.01,3.4,23,106,4800,26,27,22470
Volvo,Gas,Turbo,Four,Sedan,Rear,Front,109.1,188.8,68.9,55.5,3062,OHC,Four,141,MPFI,3.78,3.15,9.5,114,5400,19,25,22625
